price,is_weekend_holiday,hour,day_of_week,month,is_dst
39.85,False,4,0,1,False
40.2,False,5,0,1,False
44.5,False,6,0,1,False
58.03,False,7,0,1,False
59.01,False,8,0,1,False
60.79,False,9,0,1,False
60.1,False,10,0,1,False
58.7,False,11,0,1,False
58.09,False,12,0,1,False
58.01,False,13,0,1,False
55.69,False,14,0,1,False
52.73,False,15,0,1,False
52.16,False,16,0,1,False
55.8,False,17,0,1,False
57.69,False,18,0,1,False
59.03,False,19,0,1,False
61.01,False,20,0,1,False
60.32,False,21,0,1,False
57.86,False,22,0,1,False
59.01,False,0,1,1,False
53.01,False,1,1,1,False
49.4,False,2,1,1,False
47.43,False,3,1,1,False
47.43,False,4,1,1,False
47.76,False,5,1,1,False
53.48,False,6,1,1,False
59.34,False,7,1,1,False
61.41,False,8,1,1,False
61.8,False,9,1,1,False
61.62,False,10,1,1,False
60.69,False,11,1,1,False
59.55,False,12,1,1,False
60.02,False,13,1,1,False
59.34,False,14,1,1,False
58.7,False,15,1,1,False
59.34,False,16,1,1,False
58.03,False,17,1,1,False
61.09,False,18,1,1,False
62.57,False,19,1,1,False
63.51,False,20,1,1,False
63.09,False,21,1,1,False
61.77,False,22,1,1,False
61.59,False,0,2,1,False
59.75,False,1,2,1,False
57.69,False,2,2,1,False
53.01,False,3,2,1,False
49.57,False,4,2,1,False
51.0,False,5,2,1,False
56.65,False,6,2,1,False
58.7,False,7,2,1,False
59.9,False,8,2,1,False
59.9,False,9,2,1,False
58.51,False,10,2,1,False
57.45,False,11,2,1,False
55.9,False,12,2,1,False
55.83,False,13,2,1,False
53.56,False,14,2,1,False
50.86,False,15,2,1,False
50.09,False,16,2,1,False
52.17,False,17,2,1,False
57.45,False,18,2,1,False
59.75,False,19,2,1,False
60.82,False,20,2,1,False
60.01,False,21,2,1,False
59.0,False,22,2,1,False
58.95,False,0,3,1,False
56.02,False,1,3,1,False
47.76,False,2,3,1,False
46.01,False,3,3,1,False
